,FD_Name,State,Region,Member_Status,File_Name,Respondent_ID,Date,Week,Transaction_Nature,Transaction_Type,Transaction_Category1,Transaction_Name,Transaction_Amount,Transaction_Comment
38,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Income,Business,Income,2810,
39,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Income,Business,Income,75057,
40,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Expenditure,Woman Personal,Breakfast,23120,
41,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Expenditure,Woman Personal,Lunch,109592,
42,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Expenditure,Household,Dinner,65025,
43,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Expenditure,Children,Pampers,113901,
44,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Expenditure,Business,Transportation,146644,
45,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Expenditure,Household,Cost,91815,
46,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Expenditure,Children,Cost,94573,
47,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Fixed,Expenditure,Household,Cost,146053,
48,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Variable,Expenditure,Children,Cost,19805,
49,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Variable,Expenditure,Household,Cost,80627,
50,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Variable,Expenditure,Household,Cost,120994,
51,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Variable,Expenditure,Children,Cost,67945,
52,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Variable,Expenditure,Household,Ice,44259,
53,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Variable,Expenditure,Household,Cost,104510,
54,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Variable,Expenditure,Household,Cost,45437,
55,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Variable,Expenditure,Children,Baby,7699,
56,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/9/21,BL03-NWAG-OBINGWA-WK 2,12/9/21,2,Variable,Expenditure,Children,Baby,163903,
57,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Fixed,Income,Woman Personal,Sales,134503,
58,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Fixed,Income,Household,Sales,144512,
59,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Income,Woman Personal,Sales,177253,
60,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Income,Agriculture,Sales,91876,
61,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Income,Agriculture,Income,169243,
62,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Fixed,Expenditure,Household,Breakfast,163702,
63,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Fixed,Expenditure,Household,Lunch,87057,
64,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Fixed,Expenditure,Household,Dinner,166972,
65,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Fixed,Expenditure,Household,Gas,39682,
66,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Expenditure,Household,Laundry,165282,This
67,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Expenditure,Investment,Purchase,18174,Farm
68,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Expenditure,Children,Christmas,12174,
69,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Expenditure,Woman Personal,Ceremonies,62324,
70,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Expenditure,Household,Purchase,19345,
71,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Expenditure,Woman Personal,Transportation,45673,
72,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/24/21,BL04-WAG-OBINGWA-WK 4,12/24/21,4,Variable,Expenditure,Household,Cost,82416,
73,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Fixed,Income,Woman Personal,Sales,43486,
74,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Fixed,Income,Household,Sales,39624,
75,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Variable,Income,Agriculture,Sales,47696,
76,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Variable,Income,Woman Personal,Sales,165427,
77,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Fixed,Expenditure,Woman Personal,Breakfast,66267,Much
78,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Fixed,Expenditure,Children,Transportation,150023,
79,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Fixed,Expenditure,Woman Personal,Lunch,159566,
80,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Fixed,Expenditure,Household,Dinner,149584,
81,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Variable,Expenditure,Agriculture,Weeding,78690,
82,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Variable,Expenditure,Health Care,Medication,113013,
83,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/17/21,BL04-WAG-OBINGWA-WK 3,12/17/21,3,Variable,Expenditure,Woman Personal,Cost,49462,
84,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Fixed,Income,Woman Personal,Sales,164009,
85,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Variable,Income,Gift,Allowance,59937,
86,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Variable,Income,Agriculture,Income,73917,
87,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Variable,Income,Business,Money,88339,
88,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Variable,Income,Agriculture,Sales,161453,
89,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Variable,Income,Household,Sales,40708,
90,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Variable,Income,Household,Sales,108482,
91,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Fixed,Expenditure,Woman Personal,Breakfast,66100,
92,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Fixed,Expenditure,Woman Personal,Transportation,136637,
93,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Fixed,Expenditure,Woman Personal,Lunch,159225,
94,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Fixed,Expenditure,Household,Dinner,46776,
95,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Fixed,Expenditure,Children,School,64959,
96,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Fixed,Expenditure,Household,Cost,11159,
97,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Variable,Expenditure,Household,Cost,32015,
98,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Variable,Expenditure,Investment,Cost,145382,
99,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/11/21,BL04-WAG-OBINGWA-WK 2,12/11/21,2,Variable,Expenditure,Household,Cost,131821,
100,Baseline Financial Diaries_2,abia,isiala ngwa,NON WAG,abia-isiala ngwa-NON WAG-12/22/21,BL01-NWAG-ISIALA NGWA-WK 3,12/22/21,3,Fixed,Income,Business,Income,82079,
101,Baseline Financial Diaries_1,abia,isiala ngwa,NON WAG,abia-isiala ngwa-NON WAG-12/22/21,BL01-NWAG-ISIALA NGWA-WK 3,12/22/21,3,Fixed,Income,Children,Stipend/allowance,31344,
102,Baseline Financial Diaries_1,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/22/21,BL01-NWAG-ISIALA NGWA-WK 3,12/22/21,3,Fixed,Expenditure,Business,Cost,94623,
103,Baseline Financial Diaries_2,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/22/21,BL01-NWAG-ISIALA NGWA-WK 3,12/22/21,3,Fixed,Expenditure,Business,Cost,148423,
104,Midline Financial Diaries,abia,isiala ngwa,NON WAG,abia-isiala ngwa-NON WAG-12/22/21,BL01-NWAG-ISIALA NGWA-WK 3,12/22/21,3,Fixed,Expenditure,Household,Cost,46006,
105,Baseline Financial Diaries_2,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/22/21,BL01-NWAG-ISIALA NGWA-WK 3,12/22/21,3,Fixed,Expenditure,Household,Cost,81003,The
106,Midline Financial Diaries,abia,isiala ngwa,NON WAG,abia-isiala ngwa-NON WAG-12/22/21,BL01-NWAG-ISIALA NGWA-WK 3,12/22/21,3,Fixed,Expenditure,Household,Cost,31623,Respondent
107,Baseline Financial Diaries_1,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/22/21,BL01-NWAG-ISIALA NGWA-WK 3,12/22/21,3,Fixed,Expenditure,Household,Cost,69716,Respondent
108,Baseline Financial Diaries_1,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/22/21,BL01-NWAG-ISIALA NGWA-WK 3,12/22/21,3,Variable,Expenditure,Business,Cost,158079,In
109,Baseline Financial Diaries_1,abia,isiala ngwa,NON WAG,abia-isiala ngwa-NON WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Fixed,Income,Business,Income,151419,
110,Baseline Financial Diaries_1,abia,isiala ngwa,NON WAG,abia-isiala ngwa-NON WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Variable,Income,Children,Stipend/allowance,71956,
111,Baseline Financial Diaries_1,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Variable,Income,Investment,Income,48870,
112,Baseline Financial Diaries_1,abia,isiala ngwa,NON WAG,abia-isiala ngwa-NON WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Fixed,Expenditure,Business,Cost,136415,The
113,Midline Financial Diaries,abia,isiala ngwa,NON WAG,abia-isiala ngwa-NON WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Fixed,Expenditure,Business,Cost,37307,
114,Midline Financial Diaries,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Fixed,Expenditure,Household,Cost,171288,
115,Midline Financial Diaries,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Fixed,Expenditure,Household,Cost,107344,
116,Midline Financial Diaries,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Fixed,Expenditure,Household,Cost,155592,Respondent
117,Baseline Financial Diaries_1,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Fixed,Expenditure,Household,Cost,91861,Respondent
118,Baseline Financial Diaries_2,abia,isiala ngwa,WAG,abia-isiala ngwa-WAG-12/8/21,BL01-NWAG-ISIALA NGWA-WK 1,12/8/21,1,Variable,Expenditure,Business,Cost,172925,
119,Baseline Financial Diaries_2,kebbi,ngaski,NON WAG,kebbi-ngaski-NON WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Income,Miscellaneous,Government,92653,
120,Midline Financial Diaries,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Income,Household,Government,106333,
121,Baseline Financial Diaries_2,kebbi,ngaski,NON WAG,kebbi-ngaski-NON WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Income,Household,Government,76850,
122,Baseline Financial Diaries_1,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Income,Woman Personal,Government,143559,
123,Baseline Financial Diaries_2,kebbi,ngaski,NON WAG,kebbi-ngaski-NON WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Income,Household,Petty,150539,
124,Midline Financial Diaries,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Income,Household,Government,60939,
125,Baseline Financial Diaries_2,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Income,Business,Loan,84841,
126,Baseline Financial Diaries_2,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Expenditure,Miscellaneous,Food,16367,Food
127,Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi-ngaski-NON WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Expenditure,Household,Soup,148432,Fresh
128,Baseline Financial Diaries_2,kebbi,ngaski,NON WAG,kebbi-ngaski-NON WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Expenditure,Woman Personal,toiletries,52969,"Detergents,"
129,Baseline Financial Diaries_1,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Expenditure,Household,firewood,58994,
130,Midline Financial Diaries,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Expenditure,Woman Personal,breakfast,15044,They
131,Baseline Financial Diaries_1,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Fixed,Expenditure,Gift,Fish/meat,19105,
132,Baseline Financial Diaries_1,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Variable,Expenditure,Health Care,Health,34505,Medication
133,Midline Financial Diaries,kebbi,ngaski,WAG,kebbi-ngaski-WAG-12/10/21,BL03-NWAG-Ngaski-WK1,12/10/21,1,Variable,Expenditure,Woman Personal,books,133122,For
