FD_Name,State,Region,Member_Status,File_Name,Respondent ID,Date,Week,Transaction_Nature,Transaction_Type,Transaction_Name,Transaction_Amount,Transaction_Comment
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Biscuits for the baby,₦ 550,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Carbonated drink (Coca Cola),₦ 500,She got cold carbonated drink she had with some of the biscuits she bought.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Tricycle maintenance/repairs,"₦ 5, 000",Cost of maintaining husband’s tricycle.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Candy (Sweets),₦ 50,Bought to pacify her baby when she was crying.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Chin-Chin (snack),₦ 100,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Baby drinking water,₦ 100,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Ice Cream,₦ 100,Bought for the baby
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Exercise book for financial records in the shop.,₦ 100,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Bread,₦ 350,Household use.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Income,Income from her hair dressing shop (woman),"₦ 16, 800"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Income,Income from husband’s tricycle business (Man),"₦ 30,300"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Breakfast,"₦ 4,550",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Lunch,"₦ 3,650",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Dinner,"₦ 11,250",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Pampers,"₦ 1,020",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Baby Food,"₦ 1,920",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Cost of water for household activities and bathing,₦ 440,"This is water from a public borehole that is generally not fit for drinking but used for household activities like cooking, bathing, washing, etc."
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Cost of Sachet Water for Household Drinking (Pure Water),₦ 250,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Daily Transportation cost for the week,"₦ 1,050",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Biscuits for the baby,₦ 550,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Carbonated drink (Coca Cola),₦ 500,She got cold carbonated drink she had with some of the biscuits she bought.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Tricycle maintenance/repairs,"₦ 5, 000",Cost of maintaining husband’s tricycle.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Candy (Sweets),₦ 50,Bought to pacify her baby when she was crying.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Chin-Chin (snack),₦ 100,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Baby drinking water,₦ 100,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Ice Cream,₦ 100,Bought for the baby
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Exercise book for financial records in the shop.,₦ 100,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Bread,₦ 350,Household use.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Income,Income from hair dressing business (Woman),"₦ 23,300"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Income,Income from husband’s keke (commercial tricycle business (Man),"₦ 37,000"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Expenditure,Breakfast,"₦ 8,900",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Expenditure,Lunch,"₦ 4,500",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Expenditure,Dinner,"₦ 7,400",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Expenditure,Pampers (Baby Diaper),"₦ 2,000",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Expenditure,Transportation cost for the respondent to and from her shop.,"₦ 1,050",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Expenditure,Cost of buying bathing water for the family.,₦ 280,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Expenditure,Cost of baby food for her young daughter,"₦ 2,900",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Fixed,Expenditure,Cost of buying pure (sachet water) for drinking in the household.,₦ 900,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Variable,Expenditure,Cost of purchasing biscuits for the baby.,₦ 300,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Variable,Expenditure,Cost of purchasing carbonated drink.,₦ 550,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Variable,Expenditure,Cost of purchasing tooth paste,₦ 300,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Variable,Expenditure,Cost of purchasing baby bathing soap,₦ 600,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Variable,Expenditure,Ice cream,₦ 300,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Variable,Expenditure,Cost of purchasing soap for bathing in the household.,₦ 700,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Variable,Expenditure,Cost of purchasing soap for washing clothes and plates in the household,₦ 550,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Variable,Expenditure,Baby clothes,"₦ 2,000",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_16_12_2021.docx,BL03-NWAG-OBINGWA-WK 2,9 December 2021,2,Variable,Expenditure,Baby shoes,"₦ 2,000",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Fixed,Income,Sales from the store (Woman). This are sales realized from her store where she sells groceries and drinks.,"₦ 14, 800"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Fixed,Income,Sales from water borehole. (The family owns a borehole water supply point where people come to buy water from as we have entered dry season).,"₦ 1,300"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Income,"Sales from fruits (plum, mango, orange, banana, coconut) gotten from the compound. The respondent disclosed they have a big compound with these fruits in it, must times they have to sell off because they are not able to consume all in the family.",₦ 500
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Income,"Sales from farm harvest (man and woman): cassava, vegetables etc. this is harvest season and they are harvesting and selling farm harvests.","₦ 6,700"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Income,Income from the sales of garri (processed cassava),"₦ 3,000"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Fixed,Expenditure,Breakfast for the family,"₦ 3,520",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Fixed,Expenditure,Lunch for the family,"₦ 5,800",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Fixed,Expenditure,Dinner for the family,"₦ 7,400",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Fixed,Expenditure,Gas for the generator used to power the water pump (borehole) in the home.,"₦ 1,500",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Expenditure,Laundry cost paid to the laundry man for the dry-cleaning of for attending ceremonies.,"₦ 1,700",This “sales from fruits” have occurred consistently for three weeks but is grouped in the variable income section because it is a seasonal thing.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Expenditure,Purchase of food stuff for the holidays and Christmas celebrations.,"₦ 60,000",Farm harvest sales has also remained here because this is the harvest season and will cease once the planting season cycle arrives.
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Expenditure,Christmas clothing for the children,"₦ 8,000",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Expenditure,Ceremonies (Money given/sprayed to celebrants when she attended their ceremonies),"₦ 3,000",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Expenditure,"Purchase of some household items/Kitchen utensils like (plates, pots, and spoons)","₦ 9,000",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Expenditure,Transportation cost to their village to visit her mother.,"₦ 5,000",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_24_12_2021.docx,BL04-WAG-OBINGWA-WK 4,24th December 2021,4,Variable,Expenditure,Cost of weeding the compound in preparation for the yuletide. The respondent engaged the services of a paid laborer.,"₦ 5,500",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Fixed,Income,Sales from the store (Woman). This are sales realized from her store where she sells groceries and drinks.,"₦ 15,220"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Fixed,Income,Sales from water borehole. (The family owns a borehole water supply point where people come to buy water from as we have entered dry season).,₦ 520
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Variable,Income,"Sales from farm harvest (man and woman): cassava, vegetables etc. this is harvest season and they are harvesting and selling farm harvests.","₦ 12,700"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Variable,Income,"Sales from fruits (plum, mango, orange, banana, coconut) gotten from the compound. The respondent disclosed they have a big compound with these fruits in it, must times they have to sell off because they are not able to consume all in the family.","₦ 3,450"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Fixed,Expenditure,Breakfast,"₦ 1,850","Much money is not spent on breakfast because most times, they eat leftover from the previous night, or they take from their farm. (I have had a discussion with her to quantify those things she takes from the farm; how much does she think it will cost if she were to buy them?)"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Fixed,Expenditure,Transportation (transportation cost to the church and back for the entire family for weekly activities and service),"₦ 1,900",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Fixed,Expenditure,Lunch,"₦ 5,500",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Fixed,Expenditure,Dinner,"₦ 7,050",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Variable,Expenditure,Weeding the farm (This is the cost of recruiting laborers to weed their farm),"₦ 8,000",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Variable,Expenditure,Medication,₦ 1200,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_17_12_2021.docx,BL04-WAG-OBINGWA-WK 3,17/12/2021,3,Variable,Expenditure,Cost of mending of foot wear,₦ 100,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_11_12_2021.docx,BL04-WAG-OBINGWA-WK 2,11/12/2021,2,Fixed,Income,Sales from the store (woman) (This are the sales from her store where she sells groceries and drinks.,"₦ 9,420"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_11_12_2021.docx,BL04-WAG-OBINGWA-WK 2,11/12/2021,2,Variable,Income,Allowance from FGD,"₦ 1,500"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_11_12_2021.docx,BL04-WAG-OBINGWA-WK 2,11/12/2021,2,Variable,Income,Income from farm land leased to farmers. (Man and Woman),"₦ 9,000"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,WAG,Abia_FD_IDI_Female_Women Group Member_Ward II_Obingwa LGA_Weekly_11_12_2021.docx,BL04-WAG-OBINGWA-WK 2,11/12/2021,2,Variable,Income,Money from estate consultancy (Man)(agency percentage due),"₦ 85,000"
